ID,Edad,Educacion,Estado_Civil,Ingreso,Hijos_Ninos,Hijos_Adolescentes,Fecha_Inscripcion,Dias_Ult_Compra,Gasto_Vinos,Gasto_Frutas,Gasto_Carne,Gasto_Pescado,Gasto_Dulces,Prod_prem,Compras_Oferta,Compras_Web,Compras_Catalogo,Compras_Fisicas,Visitas_Web,Queja,Costo_Contacto,Ganancia,Camp1,Camp2,Camp3,Camp4,Camp5,Ult_Camp
5524,69,Graduation,Soltero ,58138.0,0.0,0,04-09-2012,58,635.0,88,546.0,172.0,88.0,88,3.0,8.0,10,4,7,0.0,,,0,0.0,0.0,0,0,1.0
2174,72,Graduation,Soltero ,46344.0,1.0,1,08-03-2014,38,11.0,1,6.0,2.0,1.0,6,2.0,1.0,1,2,5,0.0,,,0,0.0,0.0,0,0,0.0
4141,61,Graduation,En pareja ,71613.0,0.0,0,21-08-2013,26,426.0,49,127.0,111.0,21.0,42,1.0,8.0,2,10,4,0.0,,,0,0.0,0.0,0,0,0.0
6182,42,Graduation,En pareja ,26646.0,1.0,0,10-02-2014,26,11.0,4,20.0,10.0,3.0,5,2.0,2.0,0,4,6,0.0,,,0,0.0,0.0,0,0,0.0
5324,45,PhD,Casado ,58293.0,1.0,0,19-01-2014,94,173.0,43,118.0,46.0,27.0,15,5.0,5.0,3,6,5,0.0,,,0,0.0,0.0,0,0,0.0
7446,59,Master,En pareja ,62513.0,0.0,1,09-09-2013,16,520.0,42,98.0,0.0,42.0,14,2.0,6.0,4,10,6,0.0,,,0,0.0,0.0,0,0,0.0
965,55,Graduation,Divorciado ,55635.0,0.0,1,13-11-2012,34,235.0,65,164.0,50.0,49.0,27,4.0,7.0,3,7,6,0.0,,,0,0.0,0.0,0,0,0.0
6177,41,PhD,Casado ,33454.0,1.0,0,08-05-2013,32,76.0,10,56.0,3.0,1.0,23,2.0,4.0,0,4,8,0.0,,,0,0.0,0.0,0,0,0.0
4855,52,PhD,En pareja ,30351.0,1.0,0,06-06-2013,19,14.0,0,24.0,3.0,3.0,2,1.0,3.0,0,2,9,0.0,,,0,0.0,0.0,0,0,1.0
5899,76,PhD,En pareja ,5648.0,1.0,1,13-03-2014,68,28.0,0,6.0,1.0,1.0,13,1.0,1.0,0,0,20,0.0,,,0,0.0,1.0,0,0,0.0
1994,43,Graduation,Casado ,51411.0,1.0,0,15-11-2013,11,5.0,5,6.0,0.0,2.0,1,1.0,1.0,0,2,7,0.0,,,0,0.0,0.0,0,0,0.0
387,50,Basic,Casado ,7500.0,0.0,0,13-11-2012,59,6.0,16,11.0,11.0,1.0,16,1.0,2.0,0,3,8,0.0,,,0,0.0,0.0,0,0,0.0
2125,67,Graduation,Divorciado ,63033.0,0.0,0,15-11-2013,82,194.0,61,480.0,225.0,112.0,30,1.0,3.0,4,8,2,0.0,,,0,0.0,0.0,0,0,0.0
